dataset,optimizer,seed,eval,best_so_far
qsar-biodeg,random,0,15,0.8886376444068752
qsar-biodeg,random,0,16,0.8886376444068752
qsar-biodeg,random,0,17,0.8969498450267681
qsar-biodeg,random,0,18,0.8969498450267681
qsar-biodeg,random,0,19,0.8969498450267681
qsar-biodeg,random,0,20,0.8969498450267681
qsar-biodeg,random,0,21,0.8969498450267681
qsar-biodeg,random,0,22,0.8969498450267681
qsar-biodeg,random,0,23,0.8969498450267681
qsar-biodeg,random,0,24,0.8969498450267681
qsar-biodeg,random,0,25,0.8969498450267681
qsar-biodeg,random,0,26,0.8969498450267681
qsar-biodeg,random,0,27,0.8969498450267681
qsar-biodeg,random,0,28,0.8969498450267681
qsar-biodeg,random,0,29,0.8969498450267681
qsar-biodeg,random,0,30,0.8969498450267681
qsar-biodeg,random,0,31,0.8969498450267681
qsar-biodeg,random,0,32,0.8969498450267681
qsar-biodeg,random,0,33,0.8969498450267681
qsar-biodeg,random,0,34,0.8969498450267681
qsar-biodeg,random,0,35,0.8969498450267681
qsar-biodeg,random,0,36,0.8969498450267681
qsar-biodeg,random,0,37,0.8969498450267681
qsar-biodeg,random,0,38,0.8969498450267681
qsar-biodeg,random,0,39,0.8969498450267681
qsar-biodeg,random,0,40,0.8969498450267681
qsar-biodeg,random,0,41,0.8969498450267681
qsar-biodeg,random,0,42,0.8969498450267681
qsar-biodeg,random,0,43,0.8969498450267681
qsar-biodeg,random,0,44,0.8969498450267681
qsar-biodeg,random,0,45,0.8969498450267681
qsar-biodeg,random,0,46,0.8969498450267681
qsar-biodeg,random,0,47,0.8969498450267681
qsar-biodeg,random,0,48,0.8969498450267681
qsar-biodeg,random,0,49,0.8969498450267681
qsar-biodeg,random,0,50,0.8969498450267681
qsar-biodeg,random,0,51,0.8969498450267681
qsar-biodeg,random,0,52,0.8969498450267681
qsar-biodeg,random,0,53,0.8969498450267681
qsar-biodeg,random,0,54,0.8969498450267681
qsar-biodeg,random,0,55,0.8969498450267681
qsar-biodeg,random,0,56,0.8969498450267681
qsar-biodeg,random,0,57,0.8969498450267681
qsar-biodeg,random,0,58,0.8969498450267681
qsar-biodeg,random,0,59,0.8969498450267681
qsar-biodeg,random,0,60,0.8969498450267681
qsar-biodeg,random,0,61,0.8969498450267681
qsar-biodeg,random,0,62,0.8969498450267681
qsar-biodeg,random,0,63,0.8969498450267681
qsar-biodeg,random,0,64,0.8969498450267681
qsar-biodeg,random,0,65,0.8969498450267681
qsar-biodeg,random,0,66,0.8969498450267681
qsar-biodeg,random,0,67,0.8969498450267681
qsar-biodeg,random,0,68,0.8969498450267681
qsar-biodeg,random,0,69,0.8969498450267681
qsar-biodeg,random,0,70,0.8969498450267681
qsar-biodeg,random,0,71,0.8969498450267681
qsar-biodeg,random,0,72,0.8969498450267681
qsar-biodeg,random,0,73,0.8969498450267681
qsar-biodeg,random,0,74,0.8969498450267681
qsar-biodeg,random,0,75,0.8969498450267681
qsar-biodeg,random,0,76,0.8969498450267681
qsar-biodeg,random,0,77,0.8969498450267681
qsar-biodeg,random,0,78,0.8969498450267681
qsar-biodeg,random,0,79,0.8969498450267681
qsar-biodeg,random,0,80,0.8969498450267681
qsar-biodeg,random,0,81,0.8969498450267681
qsar-biodeg,random,0,82,0.8969498450267681
qsar-biodeg,random,0,83,0.8969498450267681
qsar-biodeg,random,0,84,0.8969498450267681
qsar-biodeg,random,0,85,0.8969498450267681
qsar-biodeg,random,0,86,0.8969498450267681
qsar-biodeg,random,0,87,0.8969498450267681
qsar-biodeg,random,0,88,0.8969498450267681
qsar-biodeg,random,0,89,0.8969498450267681
qsar-biodeg,random,0,90,0.8969498450267681
qsar-biodeg,random,0,91,0.8969498450267681
qsar-biodeg,random,0,92,0.8969498450267681
qsar-biodeg,random,0,93,0.8969498450267681
qsar-biodeg,random,0,94,0.8969498450267681
qsar-biodeg,random,0,95,0.8969498450267681
qsar-biodeg,random,0,96,0.8969498450267681
qsar-biodeg,random,0,97,0.8969498450267681
qsar-biodeg,random,0,98,0.8969498450267681
qsar-biodeg,random,0,99,0.8969498450267681
qsar-biodeg,random,0,100,0.8969498450267681
qsar-biodeg,bo_tpe,0,1,0.8519301211608905
qsar-biodeg,bo_tpe,0,2,0.8886376444068752
qsar-biodeg,bo_tpe,0,3,0.8886376444068752
qsar-biodeg,bo_tpe,0,4,0.8886376444068752
qsar-biodeg,bo_tpe,0,5,0.8886376444068752
qsar-biodeg,bo_tpe,0,6,0.8886376444068752
qsar-biodeg,bo_tpe,0,7,0.8886376444068752
qsar-biodeg,bo_tpe,0,8,0.8886376444068752
