dataset,optimizer,seed,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
steel-faults,grid,0,0.7506441240535214,0.8071979434447301,1.666666666666667,-3.0,53.72811722755432,37,100
steel-faults,random,0,0.7487127891297585,0.8123393316195373,1.3713790490264728,-2.9866131606537287,50.72325372695923,46,100
steel-faults,bo_tpe,0,0.7538761539259412,0.7994858611825193,1.74511558103773,-3.5729609060124483,50.33070921897888,12,100
steel-faults,pso,0,0.7525733845036822,0.8149100257069408,1.4393636361135675,-2.568486239700837,42.5519289970398,29,100
steel-faults,de,0,0.7480572554714241,0.7763496143958869,13.508457458923289,-9.733060208244698,69.09430003166199,38,100
steel-faults,ga,0,0.7500031117104035,0.7840616966580977,9.732546741616778,-7.999414368376132,48.429280519485474,34,100
steel-faults,grid,1,0.7802925007779276,0.7326478149100257,1.666666666666667,-3.0,62.15599775314331,37,100
steel-faults,random,1,0.7744860491650243,0.7326478149100257,1.2684835631848568,-2.5381929179523475,60.70807242393494,6,100
steel-faults,bo_tpe,1,0.7777160045638419,0.7326478149100257,0.7820937543149975,-2.598828373177748,50.90980815887451,30,100
steel-faults,pso,1,0.7789959547764754,0.7249357326478149,2.168138708639052,-3.220550088339707,42.438316822052,42,100
steel-faults,de,1,0.7790021781972823,0.7275064267352185,1.870681790228014,-3.112894471524488,56.79599928855896,69,100
steel-faults,ga,1,0.7635432009127683,0.7223650385604113,2.32669952731076,-1.9348393341691816,55.40732264518738,27,100
steel-faults,grid,2,0.7609542578570688,0.7557840616966581,1.666666666666667,-5.0,60.35733127593994,36,100
steel-faults,random,2,0.7648169277045949,0.7609254498714653,2.01743802603281,-5.082397704160453,51.39354228973389,44,100
steel-faults,bo_tpe,2,0.7686858209729281,0.7532133676092545,0.7757019054289733,-4.209326818278201,41.95506262779236,20,100
steel-faults,pso,2,0.766119697126854,0.7660668380462725,2.9498828359379634,-4.717567902389374,39.23465275764465,4,100
steel-faults,de,2,0.7654641634685199,0.7609254498714653,2.563207418372308,-5.46048211363007,47.094101667404175,5,100
steel-faults,ga,2,0.766760709469972,0.7660668380462725,1.2830943054263892,-3.928991564242407,40.64132595062256,5,100
steel-faults,grid,3,0.7738595581371227,0.7506426735218509,1.666666666666667,-3.0,58.30079388618469,36,100
steel-faults,random,3,0.7738657815579297,0.7583547557840618,0.4956101099127856,-3.259983748808676,55.594818115234375,11,100
steel-faults,bo_tpe,3,0.7770812156415309,0.7634961439588689,1.2887208039043552,-3.251041189604243,44.88120031356812,22,100
steel-faults,pso,3,0.7777326003526606,0.7557840616966581,0.7945493583693515,-3.032372264319829,48.565821170806885,65,100
