dataset,n_reps,tied_reps,tied_pct,mean_tied_at_top
banknote,30,30,100.0,8.666666666666666
car,30,24,80.0,6.066666666666666
wdbc,30,24,80.0,4.633333333333334
breast-w,30,22,73.33333333333333,4.133333333333334
diabetes,30,19,63.333333333333336,2.966666666666667
qsar-biodeg,30,16,53.333333333333336,1.8333333333333333
vehicle,30,14,46.666666666666664,1.7
ozone-8hr,30,13,43.333333333333336,1.8333333333333333
ilpd,30,11,36.666666666666664,1.8
steel-faults,30,10,33.333333333333336,1.4333333333333333
