dataset,bo_tpe,cuckoo,de,ga,grid,pso,random,sa,sh
banknote,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0
breast-w,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0
car,2.0,2.0,2.0,2.0,26.0,1.5,2.0,2.0,7.0
diabetes,2.0,2.0,2.0,2.0,16.0,1.5,2.0,2.5,1.0
ilpd,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ozone-8hr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qsar-biodeg,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0
steel-faults,1.0,1.0,1.5,1.5,26.0,1.0,1.0,1.0,5.5
vehicle,2.0,2.0,2.0,2.0,36.0,2.0,2.0,3.0,7.0
wdbc,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0
