optimizer,mean,std
Grid,27.517362353801726,20.22589627808564
Random,36.42112573782603,198.05269924872323
BO-TPE,78.16787801742554,971.9094353173789
PSO,21.695724569161733,17.600196947570875
DE,23.661085597674052,18.247524457021363
GA,21.373476717472077,16.760808029459533
SA,23.612888298829397,20.926964089247384
