optimizer,mean,std
Grid,28.566666666666666,18.90954234050399
Random,10.48,15.325332603176795
BO-TPE,11.693333333333333,14.633057671300081
PSO,12.363333333333333,15.940881234654082
DE,11.433333333333334,16.26491254683148
GA,12.183333333333334,18.13429248971583
SA,14.61,16.668052673696184
