optimizer,dataset,var_split_S,var_cv_F,var_opt_O,share_split_S,share_cv_F,share_opt_O
bo_tpe,banknote,0.0,0.0,0.0,,,
bo_tpe,breast-w,0.0001340018766127135,1.0849167253107852e-05,6.0989913206659655e-06,0.8877233877233903,0.07187257187257047,0.04040404040403915
bo_tpe,car,9.178811309370777e-06,1.4305887919416571e-06,1.1475886013452219e-31,0.8651583710407259,0.13484162895927418,1.0816715275006544e-26
bo_tpe,diabetes,0.000704165963906224,0.0007900481366670356,1.0856437188725596e-05,0.46786243318091064,0.5249243253687126,0.007213241450376762
bo_tpe,ilpd,0.0008622578914356106,9.31194859871548e-05,6.792936353796974e-05,0.8426191843767947,0.0909986050709773,0.06638221055222798
bo_tpe,ozone-8hr,5.680745247238743e-05,2.291257765022937e-05,2.1445886496974924e-05,0.5615275813295615,0.22648514851485202,0.21198727015558644
bo_tpe,qsar-biodeg,0.0004085376731683122,1.0430309653690491e-05,4.647167667485847e-05,0.8777457288662083,0.022409585089860247,0.09984468604393146
bo_tpe,steel-faults,0.0005788486331902949,6.685187088390236e-05,0.00016885015769551944,0.7106355201193642,0.08207208467384708,0.20729239520678877
bo_tpe,vehicle,0.0007001551127550417,7.620411247663329e-05,6.797120470906391e-05,0.8292430166281979,0.09025389796975791,0.0805030854020441
bo_tpe,wdbc,0.00014504905134382677,4.563738444720421e-05,3.042492296480281e-05,0.655999999999999,0.2064000000000005,0.13760000000000036
cuckoo,banknote,0.0,0.0,0.0,,,
cuckoo,breast-w,0.0001815622800844479,1.9293924466338154e-05,2.2812573305184014e-05,0.811746198217096,0.08626114315679026,0.1019926586261137
cuckoo,car,8.727551757550268e-06,1.1475886013452219e-31,2.7843674474029196e-07,0.9690831556503237,1.2742505734416018e-26,0.03091684434967634
cuckoo,diabetes,0.0007029543079699824,0.001629628768007632,4.676991913892949e-05,0.2954392683274601,0.6849041614894181,0.019656570183121835
cuckoo,ilpd,0.0006566225251754284,8.304343700748083e-05,7.47306965992502e-06,0.878849179590919,0.11114857271296942,0.010002247696111573
cuckoo,ozone-8hr,4.992563026245335e-05,2.615450169324555e-05,2.647645828786244e-05,0.48681055155875524,0.25502507085240744,0.2581643775888373
cuckoo,qsar-biodeg,0.00042209191219847917,3.0490583418337768e-05,6.774537755268258e-05,0.8112037312692272,0.05859878932221896,0.13019747940855395
cuckoo,steel-faults,0.00047329544630213277,0.00010003093826498261,9.613422087338578e-05,0.7069802800281386,0.14942020105748094,0.14359951891438036
cuckoo,vehicle,0.0005073380264884851,0.0001324026568030857,7.003937477627933e-05,0.7147820239829661,0.18654040121035484,0.09867757480667912
cuckoo,wdbc,0.00014504905134382618,0.00011860413283662879,5.695828601550257e-05,0.45241379310344787,0.3699310344827589,0.17765517241379325
de,banknote,0.0,0.0,0.0,,,
de,breast-w,0.00015159512080694255,3.7766830870278934e-05,3.518648838845858e-06,0.785953177257525,0.19580419580419586,0.01824262693827909
de,car,1.041737476011222e-05,1.1475886013452219e-31,1.1475886013452219e-31,1.0,1.101610173168868e-26,1.101610173168868e-26
de,diabetes,0.0006359255015770918,0.00011384719176926985,3.339323760282113e-05,0.811993316418095,0.14536790642985342,0.042638777152051464
de,ilpd,0.0011080295194648272,5.2815290068458234e-05,4.534222040853354e-05,0.9186216498433692,0.043786982248520616,0.03759136790811011
de,ozone-8hr,6.559418453380429e-05,2.4008124395800174e-05,2.1624751271762033e-05,0.5897322505427364,0.21584787328133678,0.19441987617592682
de,qsar-biodeg,0.0005095361171416711,2.5404516582255955e-05,3.513775108582356e-05,0.8938000996331689,0.04456319913047409,0.061636701236357
de,steel-faults,0.0004519280661411948,0.00010033477587836208,0.00011728891470495824,0.6749710707235723,0.1498536518957182,0.17517527738070948
de,vehicle,0.0007085868830290732,7.751660501928913e-05,7.178936483315411e-05,0.8259619842373674,0.09035697728326329,0.08368103847936934
de,wdbc,0.0001984695556192356,3.758893098849182e-05,2.697558576821179e-05,0.7545393409549417,0.14290517821116405,0.10255548083389426
ga,banknote,0.0,0.0,0.0,,,
ga,breast-w,0.00013980764719680958,3.776683087027882e-05,1.4074595355383432e-05,0.7294981640146891,0.19706242350061087,0.07343941248469982
ga,car,1.4449906925317111e-05,1.1137469789612547e-06,1.1137469789612547e-06,0.8664363845711062,0.06678180771444686,0.06678180771444686
ga,diabetes,0.0008249438276307958,0.0003666470863067371,3.7609800260942174e-05,0.6711221512499014,0.2982808926740794,0.030596956076019203
ga,ilpd,0.0011668064718462605,3.828898612276144e-05,6.221960244948767e-05,0.9206917113893858,0.03021268137547197,0.04909560723514221
ga,ozone-8hr,8.363716869045424e-05,4.45373289219898e-06,2.2733712875442143e-05,0.7546804389928994,0.04018721755971468,0.20513234344738587
ga,qsar-biodeg,0.00048291817344623804,3.0593853810948534e-05,3.7074070947276026e-05,0.8770983775672887,0.05556597580418271,0.06733564662852858
ga,steel-faults,0.00039271771123379544,5.0748477374770094e-05,0.00011062727503160483,0.7087571628327802,0.09158829819318402,0.1996545389740357
ga,vehicle,0.0005878773416060133,7.24257248538357e-05,5.2857654217873504e-05,0.8243265852434338,0.10155596453070065,0.07411745022586555
ga,wdbc,0.0002193424678857862,5.625072966748425e-05,1.954624411401575e-05,0.7431824992508229,0.1905903506143252,0.06622715013485199
grid,banknote,4.4077134986223763e-07,0.0,0.0,1.0,0.0,0.0
grid,breast-w,0.00015247478301665446,2.6331222144029916e-05,5.100393783756542e-32,0.8527386028205971,0.14726139717940295,2.8524734273734614e-28
grid,car,1.2145602830914203e-05,1.2001583825012595e-06,1.1475886013452219e-31,0.910071942446053,0.08992805755394702,8.5988995531528e-27
grid,diabetes,0.0005517396471270186,0.0006644236491974967,5.100393783756542e-32,0.4536723388992945,0.5463276611007054,4.193839593063641e-29
grid,ilpd,0.0010990450424579513,7.22116843543309e-05,5.100393783756542e-32,0.938346834898559,0.0616531651014409,4.354633503482951e-29
grid,ozone-8hr,7.71846219400093e-05,1.432706846044769e-05,5.100393783756542e-32,0.8434400195455668,0.15655998045443323,5.573488765683506e-28
grid,qsar-biodeg,0.000523709978527503,4.5981142309957234e-05,5.100393783756542e-32,0.9192875917701441,0.08071240822985586,8.952910791831959e-29
grid,steel-faults,0.00038259991870824643,0.0001176535198410137,5.100393783756542e-32,0.764812171642018,0.235187828357982,1.019561964141163e-28
grid,vehicle,0.0006031102096010816,2.9431650956528447e-05,5.100393783756542e-32,0.9534708249496984,0.046529175050301505,8.063330036782622e-29
grid,wdbc,0.0001511517248454873,0.00015645839745562703,5.100393783756542e-32,0.49137435307648114,0.5086256469235189,1.6580708546267712e-28
pso,banknote,0.0,0.0,0.0,,,
pso,breast-w,0.00017452498240675505,2.4923762608491366e-05,8.268824771287904e-06,0.840203274985884,0.11998870694522776,0.039808018068888194
pso,car,1.22992231038744e-05,5.80876657130685e-06,1.1475886013452219e-31,0.6792152704135718,0.3207847295864281,6.337471038643803e-27
pso,diabetes,0.0007415334329799177,0.00034527347559143364,1.303741787396063e-05,0.6742167188119683,0.3139294055435597,0.011853875644471847
pso,ilpd,0.0006533478092570347,6.918886966042886e-05,5.709761088481984e-05,0.8380183091007001,0.08874528809908462,0.07323640280021533
pso,ozone-8hr,4.538246498286042e-05,1.9746671136497312e-05,1.817266111837076e-05,0.544795748564067,0.2370497611251271,0.21815449031080592
pso,qsar-biodeg,0.0005076772500746765,2.3468196720803614e-05,3.52152038802816e-05,0.8963851027943657,0.041436841865341786,0.06217805534029254
pso,steel-faults,0.0004465273525633679,3.8010085433819596e-05,8.65633360519205e-05,0.7818713839196649,0.0665558289552435,0.15157278712509162
