opt_A,opt_B,mean_diff,ci_low,ci_high,equivalent,p_tost,max_abs_diff,p_tost_holm,equivalent_holm
bo_tpe,cuckoo,-0.00015365907597995055,-0.0017509756293169008,0.0014436574773569995,True,6.413770778509322e-07,0.00712250712250706,1.3468918634869576e-05,True
bo_tpe,de,0.0004627871288057306,-0.0004092968281657369,0.0013348710857771981,True,4.4464664654058886e-09,0.003896103896103842,1.511798598238002e-07,True
bo_tpe,ga,-1.6372477982584677e-05,-0.0011788131306648862,0.0011460681746997168,True,3.702511846358811e-08,0.004843304843304863,1.073728435444055e-06,True
bo_tpe,grid,0.00037431223394235325,-0.0013942273592749941,0.0021428518271597004,True,1.8235165534382487e-06,0.007407407407407418,3.0999781408450226e-05,True
bo_tpe,pso,0.00030642221836552075,-0.0007363983662029149,0.0013492428029339564,True,1.8553311023689054e-08,0.0039886039886040114,5.751526417343607e-07,True
bo_tpe,random,-0.0003328531640677923,-0.0022312887100792867,0.0015655823819437022,True,3.1641294179725745e-06,0.007254901960784266,5.062607068756119e-05,True
bo_tpe,sa,-2.7739685147110114e-05,-0.001780031577951516,0.0017245522076572955,True,1.2566359919381766e-06,0.006837606837606813,2.261944785488718e-05,True
bo_tpe,sh,0.0039431715312024055,0.0015061198350494933,0.006380223227355318,True,0.0006871940113518401,0.011688311688311526,0.004123164068111041,True
cuckoo,de,0.0006164462047856811,-0.0009134879193563067,0.0021463803289276688,True,6.693151398270726e-07,0.005413105413105357,1.3468918634869576e-05,True
cuckoo,ga,0.00013728659799736587,-0.0011582698818193868,0.0014328430778141187,True,1.054348311272679e-07,0.004739336492890822,2.6358707781816976e-06,True
cuckoo,grid,0.0005279713099223038,-0.0026604195503435726,0.0037163621701881804,True,0.00020394832322104186,0.014529914529914478,0.0018355349089893766,True
cuckoo,pso,0.00046008129434547127,-0.0003566070719839007,0.0012767696606748433,True,2.484294348797776e-09,0.0031339031339030488,8.943459655671995e-08,True
cuckoo,random,-0.00017919408808784177,-0.001409521748171752,0.0010511335719960682,True,6.99559504079734e-08,0.00509803921568619,1.8188547106073085e-06,True
cuckoo,sa,0.00012591939083284043,-0.000729509685874872,0.0009813484675405529,True,2.760316185949736e-09,0.0025974025974025983,9.661106650824075e-08,True
cuckoo,sh,0.004096830607182356,0.0006313764041250103,0.007562284810239701,True,0.00613370091941985,0.01737891737891728,0.01732200797032657,True
de,ga,-0.0004791596067883153,-0.00163860106075089,0.0006802818471742593,True,5.47112965463036e-08,0.003896103896103842,1.4772050067501971e-06,True
de,grid,-8.847489486337733e-05,-0.002213258599027542,0.0020363088093007875,True,6.475888279192197e-06,0.009116809116809121,9.713832418788296e-05,True
de,pso,-0.00015636491044020983,-0.0012620719375055092,0.0009493421166250896,True,2.706685412472983e-08,0.00303030303030305,8.120056237418949e-07,True
de,random,-0.0007956402928735229,-0.0028646608597041163,0.0012733802739570703,True,9.492265624333411e-06,0.007843137254901933,0.00013289171874066776,True
de,sa,-0.0004905268139528407,-0.0020171052291420768,0.0010360516012363956,True,5.868995172400914e-07,0.00512820512820511,1.291178937928201e-05,True
de,sh,0.0034803844023966746,0.0011089175878159648,0.005851851216977384,True,0.00035009388684743517,0.011965811965811923,0.0024506572079320463,True
ga,grid,0.0003906847119249379,-0.0023368886530961788,0.0031182580769460546,True,5.85138410712424e-05,0.012250712250712281,0.0006436522517836664,True
ga,pso,0.0003227946963481054,-0.0006150247560882667,0.0012606141487844775,True,7.4185130064698465e-09,0.0035087719298245723,2.373924162070351e-07,True
ga,random,-0.00031648068608520764,-0.001996762351063186,0.0013638009788927705,True,1.1308699299795042e-06,0.005686274509803968,2.148652866961058e-05,True
ga,sa,-1.136720716452544e-05,-0.0014438074913873625,0.0014210730770583115,True,2.2437548397039816e-07,0.004385964912280715,5.385011615289556e-06,True
ga,sh,0.00395954400918499,0.0006442631268808049,0.007274824891489175,True,0.004330501992581642,0.015099715099715083,0.01732200797032657,True
grid,pso,-6.78900155768325e-05,-0.0026304294577854043,0.0024946494266317393,True,2.818218242821368e-05,0.01139601139601143,0.00033818618913856416,True
grid,random,-0.0007071653980101455,-0.0038869940317529774,0.002472663235732686,True,0.0002290131997372108,0.013105413105413133,0.0018355349089893766,True
grid,sa,-0.00040205191908946334,-0.0035492568675202178,0.002745153029341291,True,0.00016920490571354247,0.014245014245014231,0.0016920490571354246,True
grid,sh,0.003568859297260052,0.0020724290306811067,0.005065289563838997,True,1.250942583374912e-05,0.008874458874458813,0.00016262253583873858,True
pso,random,-0.000639275382433313,-0.001986161175093157,0.0007076104102265309,True,2.308929547439778e-07,0.005490196078431264,5.385011615289556e-06,True
pso,sa,-0.00033416190351263084,-0.0012416864776309377,0.000573362670605676,True,5.6135940497243655e-09,0.002849002849002802,1.8524860364090407e-07,True
pso,sh,0.0036367493128368843,0.0006554240655876581,0.006618074560086111,True,0.0017755028284860263,0.014245014245014231,0.008877514142430131,True
random,sa,0.00030511347892068217,-0.0008555161031919043,0.0014657430610332685,True,4.71581626030529e-08,0.0037254901960784848,1.3204285528854812e-06,True
random,sh,0.004276024695270197,0.0006106030496243198,0.007941446340916074,True,0.00935023480833221,0.015954415954415935,0.01732200797032657,True
sa,sh,0.003970911216349515,0.0005847346090899555,0.007357087823609075,True,0.004889116929429959,0.017094017094017033,0.01732200797032657,True
