dataset,optimizer,rep,seed,eval,best_so_far
breast-w,random,0,0,24,0.9678088803088803
breast-w,random,0,0,25,0.9678088803088803
breast-w,random,0,0,26,0.971380308880309
breast-w,random,0,0,27,0.971380308880309
breast-w,random,0,0,28,0.971380308880309
breast-w,random,0,0,29,0.971380308880309
breast-w,random,0,0,30,0.971380308880309
breast-w,random,0,0,31,0.971380308880309
breast-w,random,0,0,32,0.971380308880309
breast-w,random,0,0,33,0.971380308880309
breast-w,random,0,0,34,0.971380308880309
breast-w,random,0,0,35,0.971380308880309
breast-w,random,0,0,36,0.971380308880309
breast-w,random,0,0,37,0.971380308880309
breast-w,random,0,0,38,0.971380308880309
breast-w,random,0,0,39,0.971380308880309
breast-w,random,0,0,40,0.971380308880309
breast-w,random,0,0,41,0.971380308880309
breast-w,random,0,0,42,0.971380308880309
breast-w,random,0,0,43,0.971380308880309
breast-w,random,0,0,44,0.971380308880309
breast-w,random,0,0,45,0.971380308880309
breast-w,random,0,0,46,0.971380308880309
breast-w,random,0,0,47,0.971380308880309
breast-w,random,0,0,48,0.971380308880309
breast-w,random,0,0,49,0.971380308880309
breast-w,random,0,0,50,0.971380308880309
breast-w,random,0,0,51,0.971380308880309
breast-w,random,0,0,52,0.971380308880309
breast-w,random,0,0,53,0.971380308880309
breast-w,random,0,0,54,0.971380308880309
breast-w,random,0,0,55,0.971380308880309
breast-w,random,0,0,56,0.971380308880309
breast-w,random,0,0,57,0.971380308880309
breast-w,random,0,0,58,0.971380308880309
breast-w,random,0,0,59,0.971380308880309
breast-w,random,0,0,60,0.971380308880309
breast-w,random,0,0,61,0.971380308880309
breast-w,random,0,0,62,0.971380308880309
breast-w,random,0,0,63,0.971380308880309
breast-w,random,0,0,64,0.971380308880309
breast-w,random,0,0,65,0.971380308880309
breast-w,random,0,0,66,0.971380308880309
breast-w,random,0,0,67,0.971380308880309
breast-w,random,0,0,68,0.971380308880309
breast-w,random,0,0,69,0.971380308880309
breast-w,random,0,0,70,0.971380308880309
