dataset,optimizer,seed,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
qsar-biodeg,grid,0,0.89339954916878,0.8720379146919431,3.888888888888889,-5.0,31.677767992019653,46,100
qsar-biodeg,random,0,0.8969498450267681,0.8767772511848341,4.123006644330971,-4.768188920364327,28.198601722717285,2,100
qsar-biodeg,bo_tpe,0,0.9005071851225697,0.8720379146919431,4.633719157563142,-5.7244334114343,27.401955127716064,19,100
qsar-biodeg,pso,0,0.9005071851225697,0.8672985781990521,6.652829708621542,-6.647865922116507,22.60889172554016,27,100
qsar-biodeg,de,0,0.8957523245984784,0.8625592417061612,5.872499829308458,-5.804326595710874,29.7893660068512,42,100
qsar-biodeg,ga,0,0.8957593688362919,0.8672985781990521,7.591172209784203,-7.14398725611837,26.93699550628662,28,100
qsar-biodeg,grid,1,0.8826923076923077,0.8909952606635071,6.111111111111111,-5.0,31.50950527191162,36,100
qsar-biodeg,random,1,0.8779444914060299,0.9004739336492891,2.9353494846133987,-5.301298787939576,30.72303342819214,5,100
qsar-biodeg,bo_tpe,1,0.8838616511693435,0.914691943127962,2.604835426491652,-3.924719853510824,30.5024471282959,5,100
qsar-biodeg,pso,1,0.8909833755987602,0.8767772511848341,7.510196311277008,-5.801953684802661,29.31340217590332,48,100
qsar-biodeg,de,1,0.8862426035502959,0.8767772511848341,7.260622924386712,-5.45009143570354,28.69227194786072,25,100
qsar-biodeg,ga,1,0.8874401239785854,0.8862559241706162,6.643560669732031,-5.354213254433708,27.830646276474,35,100
qsar-biodeg,grid,2,0.8909904198365737,0.8388625592417062,10.555555555555555,-13.0,34.56877541542053,26,100
qsar-biodeg,random,2,0.8909833755987602,0.8672985781990521,2.142698673991214,-4.383924153508252,28.22436237335205,3,100
qsar-biodeg,bo_tpe,2,0.8945336714567486,0.8436018957345972,10.642682450062855,-13.370007433042842,23.36970448493957,10,100
qsar-biodeg,pso,2,0.8933502395040858,0.8436018957345972,10.287366883862964,-12.971493927353894,27.58218002319336,4,100
qsar-biodeg,de,2,0.8909763313609467,0.8672985781990521,2.8324966616005227,-4.609276739519837,26.02055549621582,2,100
qsar-biodeg,ga,2,0.8933502395040858,0.8436018957345972,11.373046483296656,-14.031138346338524,26.47434687614441,2,100
qsar-biodeg,grid,3,0.8791420118343195,0.8909952606635071,3.888888888888889,-7.0,31.529350519180294,26,100
qsar-biodeg,random,3,0.8791279233586927,0.8625592417061612,6.056891463008912,-11.465149619397536,34.6685688495636,2,100
qsar-biodeg,bo_tpe,3,0.8779726683572837,0.8909952606635071,5.705402884241817,-7.855930532284772,25.717185735702515,2,100
qsar-biodeg,pso,3,0.8755987602141448,0.8957345971563981,0.2641535907441916,-3.987857278265869,23.845489025115967,2,100
qsar-biodeg,de,3,0.8767681036911806,0.8957345971563981,3.4105303396891724,-6.918472165441663,25.445616722106934,5,100
qsar-biodeg,ga,3,0.8779515356438434,0.8672985781990521,8.739136805690677,-12.95390364141474,24.05003333091736,5,100
qsar-biodeg,grid,4,0.8886094674556213,0.8530805687203792,3.888888888888889,-7.0,72.6123275756836,35,100
qsar-biodeg,random,4,0.883868695407157,0.8578199052132701,1.623490061822455,-4.701502135090525,36.42857766151428,4,100
qsar-biodeg,bo_tpe,4,0.8850239504085659,0.8436018957345972,9.820422318163688,-13.587385605047528,25.67750859260559,4,100
qsar-biodeg,pso,4,0.8850239504085659,0.8436018957345972,8.563478215956714,-12.359066339781714,21.24191427230835,9,100
qsar-biodeg,de,4,0.8838405184559031,0.8530805687203792,7.147116639900592,-10.90634790229914,31.69344663619995,2,100
qsar-biodeg,ga,4,0.8862285150746689,0.8530805687203792,3.0741638243631995,-5.21619709367806,25.020118236541748,4,100
qsar-biodeg,grid,5,0.8886306001690617,0.8483412322274881,6.111111111111111,-7.0,28.967705965042114,36,100
qsar-biodeg,random,5,0.8886446886446887,0.8530805687203792,5.294759340013581,-6.961059097398362,30.400304794311523,11,100
qsar-biodeg,bo_tpe,5,0.8922090729783039,0.8530805687203792,1.816843975442442,-4.680866432117659,23.814355611801147,17,100
qsar-biodeg,pso,5,0.8933925049309664,0.8578199052132701,3.884379591932484,-6.188180332715086,22.565158367156982,27,100
qsar-biodeg,de,5,0.8910045083122007,0.8578199052132701,3.169464108399973,-4.842268476096699,26.72968435287476,9,100
qsar-biodeg,ga,5,0.893385460693153,0.8436018957345972,4.368346430219837,-6.122418864040585,24.780205249786377,22,100
qsar-biodeg,grid,6,0.8803324880247956,0.90521327014218,3.888888888888889,-5.0,30.930799961090088,36,100
qsar-biodeg,random,6,0.8839039165962242,0.8909952606635071,7.368210169091768,-6.430040281079805,31.2532172203064,5,100
qsar-biodeg,bo_tpe,6,0.8909763313609467,0.90521327014218,4.797419519401341,-5.778844678214703,29.681274890899655,24,100
qsar-biodeg,pso,6,0.8838968723584107,0.9004739336492891,3.7960073282090567,-4.877980287358046,29.492035150527958,13,100
qsar-biodeg,de,6,0.8815159199774584,0.90521327014218,6.330234421157109,-5.282570321800151,34.364712953567505,18,100
qsar-biodeg,ga,6,0.8874260355029586,0.9004739336492891,5.0420697807659725,-5.741930968015074,29.02912998199463,18,100
qsar-biodeg,grid,7,0.876803324880248,0.8957345971563981,-0.5555555555555554,-5.0,32.8530375957489,26,100
qsar-biodeg,random,7,0.876803324880248,0.8957345971563981,-0.5184272610736134,-4.652473423395316,35.53110909461975,12,100
qsar-biodeg,bo_tpe,7,0.8827204846435617,0.8767772511848341,0.4481231121352581,-3.751385891922503,47.65605688095093,37,100
qsar-biodeg,pso,7,0.8827345731191885,0.8862559241706162,0.8321952810334299,-5.185006842288811,32.9354202747345,1,100
qsar-biodeg,de,7,0.8779656241194704,0.8720379146919431,10.941388575040923,-8.956212823125668,36.84450697898865,8,100
qsar-biodeg,ga,7,0.8862637362637363,0.8909952606635071,5.419052119609467,-6.168835584580729,21.328360080718998,55,100
qsar-biodeg,grid,8,0.8779656241194702,0.8862559241706162,3.888888888888889,-7.0,30.72384738922119,26,100
qsar-biodeg,random,8,0.8791561003099464,0.8815165876777251,2.480974799628976,-5.9285214252110325,26.57519483566284,4,100
qsar-biodeg,bo_tpe,8,0.87916314454776,0.8720379146919431,12.065783052960963,-14.858515518898429,24.51250505447388,4,100
qsar-biodeg,pso,8,0.8779797125950972,0.8767772511848341,10.411765263653724,-13.36623883443747,20.37737512588501,1,100
