dataset,optimizer,seed,cv_best,test_acc,best_log2C,best_log2gamma,time_sec,evals_to_99pct,n_evals_used
banknote,grid,0,1.0,1.0,-0.5555555555555554,3.0,12.324937343597412,18,100
banknote,random,0,1.0,1.0,5.976270078546495,-2.12659140529645,10.847897052764893,1,100
banknote,bo_tpe,0,1.0,1.0,5.976270078546495,-2.12659140529645,9.83228850364685,1,100
banknote,pso,0,1.0,1.0,2.5791215948046524,2.659467557632212,14.024459838867188,6,100
banknote,de,0,1.0,1.0,11.265404784005447,1.429600390998992,13.114442348480225,3,100
banknote,ga,0,1.0,1.0,11.265404784005447,1.429600390998992,10.27958607673645,3,100
banknote,grid,1,1.0,1.0,-0.5555555555555554,-1.0,12.97100591659546,18,100
banknote,random,1,1.0,1.0,3.3404400940514805,-2.0341591180411545,13.717167377471924,1,100
banknote,bo_tpe,1,1.0,1.0,3.3404400940514805,-2.0341591180411545,10.304493188858032,1,100
banknote,pso,1,1.0,1.0,4.36088912096986,-0.444398423549341,8.761637926101685,1,100
banknote,de,1,1.0,1.0,5.236432494005134,2.108346533866836,14.11203670501709,1,100
banknote,ga,1,1.0,1.0,5.236432494005134,2.108346533866836,10.87303376197815,1,100
banknote,grid,2,1.0,1.0,-0.5555555555555554,-1.0,11.453171014785768,18,100
banknote,random,2,1.0,1.0,7.422676655385898,-5.475442303013297,11.085747957229614,2,100
banknote,bo_tpe,2,1.0,1.0,7.422676655385898,-5.475442303013297,8.113202810287476,2,100
banknote,pso,2,1.0,1.0,10.778358178372292,-4.104209959619352,7.045687913894653,1,100
banknote,de,2,1.0,1.0,7.00201051931308,-1.885910517387696,9.438385725021362,3,100
banknote,ga,2,1.0,1.0,7.00201051931308,-1.885910517387696,7.333484649658203,3,100
banknote,grid,3,1.0,1.0,-0.5555555555555554,-1.0,11.877103567123411,18,100
banknote,random,3,1.0,1.0,6.015958051491509,-2.2533391928741136,10.828563928604126,1,100
banknote,bo_tpe,3,1.0,1.0,6.015958051491509,-2.2533391928741136,8.886307716369629,1,100
banknote,pso,3,1.0,1.0,7.55580736700383,-6.322009877449887,7.655301570892334,1,100
banknote,de,3,1.0,1.0,11.025489304127936,-4.52108335084138,8.556659460067749,2,100
banknote,ga,3,1.0,1.0,11.025489304127936,-4.52108335084138,9.24104142189026,2,100
banknote,grid,4,1.0,1.0,-0.5555555555555554,3.0,11.720290184020996,18,100
banknote,random,4,1.0,1.0,14.340596780273533,-5.149819514836999,10.242259979248049,1,100
banknote,bo_tpe,4,1.0,1.0,14.340596780273533,-5.149819514836999,8.14819073677063,1,100
banknote,pso,4,1.0,1.0,12.6376291411855,-7.205363499590426,7.578204154968262,1,100
banknote,de,4,1.0,1.0,13.86112211144735,-5.796104049341491,7.661470413208008,1,100
banknote,ga,4,1.0,1.0,13.86112211144735,-5.796104049341491,8.005311250686646,1,100
banknote,grid,5,1.0,1.0,1.666666666666667,-3.0,11.417269468307495,18,100
banknote,random,5,1.0,1.0,-0.8656168932114721,1.5349963428825897,11.148208141326904,1,100
banknote,bo_tpe,5,1.0,1.0,-0.8656168932114721,1.5349963428825897,9.197473526000977,1,100
banknote,pso,5,1.0,1.0,10.156448909697165,2.3026273708358147,7.376657247543335,1,100
banknote,de,5,1.0,1.0,11.100058474907604,-0.4570657847431132,9.047605514526367,1,100
banknote,ga,5,1.0,1.0,11.100058474907604,-0.4570657847431132,10.046177387237549,1,100
banknote,grid,6,1.0,1.0,-2.7777777777777777,1.0,11.873040676116943,18,100
banknote,random,6,1.0,1.0,12.857203028720033,-9.02436350457881,10.955766439437866,1,100
banknote,bo_tpe,6,1.0,1.0,12.857203028720033,-9.02436350457881,8.976208209991455,1,100
banknote,pso,6,1.0,1.0,13.214026242073556,-4.364199797889398,6.883965492248535,1,100
banknote,de,6,1.0,1.0,14.74889980372933,-3.6103870930713695,9.954806566238403,3,100
banknote,ga,6,1.0,1.0,14.74889980372933,-3.6103870930713695,9.644909143447876,3,100
banknote,grid,7,1.0,0.9963636363636365,-2.7777777777777777,1.0,15.45282745361328,18,100
banknote,random,7,1.0,1.0,3.7681846288178704,-1.9776267990430585,12.049821138381958,1,100
banknote,bo_tpe,7,1.0,1.0,3.7681846288178704,-1.9776267990430585,10.8686842918396,1,100
banknote,pso,7,1.0,1.0,13.630995250718245,-1.2840378261891452,7.737665414810181,2,100
banknote,de,7,1.0,0.9963636363636365,7.501909332093339,1.1498484174523576,9.878713369369509,1,100
banknote,ga,7,1.0,0.9963636363636365,7.501909332093339,1.1498484174523576,9.635749578475952,1,100
banknote,grid,8,1.0,1.0,-0.5555555555555554,-1.0,11.420448303222656,18,100
banknote,random,8,1.0,1.0,12.468588055836324,2.4337319307767764,11.102128982543944,1,100
banknote,bo_tpe,8,1.0,1.0,12.468588055836324,2.4337319307767764,8.988914012908936,1,100
banknote,pso,8,1.0,1.0,14.286879030154868,-6.53378549998833,7.478816747665405,3,100
banknote,de,8,1.0,1.0,1.5394455321112144,2.770983180082659,13.444056034088137,1,100
banknote,ga,8,1.0,1.0,1.5394455321112144,2.770983180082659,8.92928671836853,1,100
banknote,grid,9,1.0,1.0,1.666666666666667,-3.0,11.462661743164062,18,100
banknote,random,9,1.0,1.0,8.98214782797522,-4.690323319750634,10.084831476211548,6,100
banknote,bo_tpe,9,1.0,1.0,8.98214782797522,-4.690323319750634,8.560605764389038,6,100
banknote,pso,9,1.0,1.0,8.208425447397742,2.158584755065672,9.141971826553345,1,100
banknote,de,9,1.0,1.0,12.404984079401691,-9.837290236424003,9.22309923171997,1,100
banknote,ga,9,1.0,1.0,12.404984079401691,-9.837290236424003,9.0617938041687,1,100
banknote,grid,10,1.0,1.0,-0.5555555555555554,3.0,11.529016971588137,18,100
banknote,random,10,1.0,1.0,7.672964698525508,-1.521530114304987,11.155230045318604,2,100
banknote,bo_tpe,10,1.0,1.0,7.672964698525508,-1.521530114304987,9.32148027420044,2,100
banknote,pso,10,1.0,1.0,14.668862212128944,-2.2980169461928828,7.7310261726379395,3,100
banknote,de,10,1.0,1.0,3.510179948099532,2.2246680621605925,10.716437101364136,1,100
banknote,ga,10,1.0,1.0,3.510179948099532,2.2246680621605925,10.770468711853027,1,100
banknote,grid,11,1.0,1.0,-0.5555555555555554,-1.0,12.029393434524536,18,100
banknote,random,11,1.0,1.0,4.264370529966893,-1.9511892745413384,10.934249877929688,2,100
banknote,bo_tpe,11,1.0,1.0,4.264370529966893,-1.9511892745413384,10.029653787612917,2,100
banknote,pso,11,1.0,1.0,2.988307378152585,-0.2831495425686974,9.627817392349243,1,100
banknote,de,11,1.0,1.0,-2.0414783084508814,1.7077984132866495,9.549548864364624,3,100
banknote,ga,11,1.0,1.0,-2.0414783084508814,1.7077984132866495,7.548369646072388,3,100
banknote,grid,12,1.0,1.0,-0.5555555555555554,-1.0,11.62354612350464,18,100
banknote,random,12,1.0,1.0,6.040752665291331,-6.263206554071225,10.848381280899048,1,100
banknote,bo_tpe,12,1.0,1.0,6.040752665291331,-6.263206554071225,9.113824129104614,1,100
banknote,pso,12,1.0,1.0,4.776778103984622,1.5909454989888443,9.220311641693115,1,100
banknote,de,12,1.0,1.0,0.0164891621689218,2.041552971469642,12.629297018051147,1,100
banknote,ga,12,1.0,1.0,0.0164891621689218,2.041552971469642,11.435198783874512,1,100
banknote,grid,13,1.0,1.0,-0.5555555555555554,3.0,11.6179780960083,18,100
banknote,random,13,1.0,1.0,11.48557065322737,2.383485564773995,11.234004497528076,2,100
banknote,bo_tpe,13,1.0,1.0,11.48557065322737,2.383485564773995,9.174527406692505,2,100
banknote,pso,13,1.0,1.0,10.816004832026362,-3.32895763700264,7.447131395339966,1,100
banknote,de,13,1.0,1.0,13.208143561316756,2.7264625542759973,12.01844048500061,1,100
banknote,ga,13,1.0,1.0,13.208143561316756,2.7264625542759973,10.892998933792114,1,100
banknote,grid,14,1.0,1.0,-0.5555555555555554,3.0,12.529687643051147,18,100
banknote,random,14,1.0,1.0,5.278866875453804,-1.083029062572658,11.045275926589966,1,100
banknote,bo_tpe,14,1.0,1.0,5.278866875453804,-1.083029062572658,9.735652923583984,1,100
banknote,pso,14,1.0,1.0,9.311474859409262,-8.428013753794737,8.980231523513794,1,100
banknote,de,14,1.0,1.0,11.61966637778223,-8.502959996983382,7.332875728607178,1,100
banknote,ga,14,1.0,1.0,11.61966637778223,-8.502959996983382,7.951158285140991,1,100
banknote,grid,15,1.0,1.0,1.666666666666667,-3.0,13.307209968566896,18,100
banknote,random,15,1.0,1.0,13.352597956731248,-10.245356641439276,13.076725006103516,6,100
banknote,bo_tpe,15,1.0,1.0,13.352597956731248,-10.245356641439276,9.819637775421144,6,100
banknote,pso,15,1.0,1.0,14.125071623625873,-1.6677620552471542,7.381233215332031,2,100
banknote,de,15,1.0,1.0,9.375427537509424,-8.783582926634885,10.983671188354492,1,100
banknote,ga,15,1.0,1.0,9.375427537509424,-8.783582926634885,11.017957210540771,1,100
banknote,grid,16,1.0,1.0,-0.5555555555555554,3.0,11.1853187084198,18,100
banknote,random,16,1.0,1.0,8.932214284171899,-6.643246415277268,10.627790689468384,5,100
banknote,bo_tpe,16,1.0,1.0,8.932214284171899,-6.643246415277268,7.566179037094116,5,100
banknote,pso,16,1.0,1.0,7.7898263016238865,2.543429870126843,9.308902263641356,1,100
banknote,de,16,1.0,1.0,14.172676621288408,2.72972977949906,9.573285818099976,1,100
banknote,ga,16,1.0,1.0,14.172676621288408,2.72972977949906,8.749957084655762,1,100
banknote,grid,17,1.0,1.0,1.666666666666667,-3.0,11.02489447593689,18,100
banknote,random,17,1.0,1.0,10.739709199998266,-3.1859966080346016,9.683459997177124,3,100
banknote,bo_tpe,17,1.0,1.0,10.739709199998266,-3.1859966080346016,7.80088472366333,3,100
banknote,pso,17,1.0,1.0,11.77697199299662,-6.9905100872039405,6.860328912734985,4,100
banknote,de,17,1.0,1.0,3.5632899818721686,-3.995824047018351,9.853206396102903,4,100
banknote,ga,17,1.0,1.0,3.5632899818721686,-3.995824047018351,9.472071409225464,4,100
banknote,grid,18,1.0,1.0,1.666666666666667,-3.0,13.357726812362673,18,100
banknote,random,18,1.0,1.0,8.007484834791834,-5.901839272772827,11.297813177108765,1,100
banknote,bo_tpe,18,1.0,1.0,8.007484834791834,-5.901839272772827,7.666581153869629,1,100
banknote,pso,18,1.0,1.0,5.685386159358101,-1.0062686504841931,7.474945545196533,1,100
banknote,de,18,1.0,1.0,2.9861153843514554,-2.086535772812109,8.035963773727417,1,100
banknote,ga,18,1.0,1.0,2.9861153843514554,-2.086535772812109,6.7790350914001465,1,100
banknote,grid,19,1.0,1.0,-0.5555555555555554,3.0,11.19240665435791,18,100
banknote,random,19,1.0,1.0,14.654838290884278,-3.558106773656654,11.214632272720335,4,100
banknote,bo_tpe,19,1.0,1.0,14.654838290884278,-3.558106773656654,9.033162117004396,4,100
banknote,pso,19,1.0,1.0,14.8548675024567,-4.076257621758268,7.0138936042785645,2,100
banknote,de,19,1.0,1.0,3.407575914585216,1.6656482067006664,9.599361658096312,1,100
banknote,ga,19,1.0,1.0,3.407575914585216,1.6656482067006664,7.551537990570068,1,100
banknote,grid,20,1.0,1.0,-0.5555555555555554,-1.0,11.16042971611023,18,100
banknote,random,20,1.0,1.0,6.762616021545485,1.1588471023695242,9.041624784469604,1,100
banknote,bo_tpe,20,1.0,1.0,6.762616021545485,1.1588471023695242,9.174081325531006,1,100
banknote,pso,20,1.0,1.0,13.714000225179714,-1.6133898085275111,7.182401657104492,2,100
banknote,de,20,1.0,1.0,8.881357647151733,-6.923607715263863,7.762623786926269,4,100
banknote,ga,20,1.0,1.0,8.881357647151733,-6.923607715263863,7.193507671356201,4,100
banknote,grid,21,1.0,1.0,-0.5555555555555554,3.0,11.084875106811523,18,100
banknote,random,21,1.0,1.0,1.0454378792923364,-3.0496146967554,9.614113330841064,4,100
banknote,bo_tpe,21,1.0,1.0,1.0454378792923364,-3.0496146967554,9.226552486419678,4,100
banknote,pso,21,1.0,1.0,14.889686610994794,-7.507371018781144,6.892308950424194,1,100
banknote,de,21,1.0,1.0,10.62235177634942,-4.094753467722576,6.724959850311279,1,100
banknote,ga,21,1.0,1.0,10.62235177634942,-4.094753467722576,7.483621120452881,1,100
