dataset,optimizer,seed,eval,best_so_far
steel-faults,grid,0,56,0.7506441240535214
steel-faults,grid,0,57,0.7506441240535214
steel-faults,grid,0,58,0.7506441240535214
steel-faults,grid,0,59,0.7506441240535214
steel-faults,grid,0,60,0.7506441240535214
steel-faults,grid,0,61,0.7506441240535214
steel-faults,grid,0,62,0.7506441240535214
steel-faults,grid,0,63,0.7506441240535214
steel-faults,grid,0,64,0.7506441240535214
steel-faults,grid,0,65,0.7506441240535214
steel-faults,grid,0,66,0.7506441240535214
steel-faults,grid,0,67,0.7506441240535214
steel-faults,grid,0,68,0.7506441240535214
steel-faults,grid,0,69,0.7506441240535214
steel-faults,grid,0,70,0.7506441240535214
steel-faults,grid,0,71,0.7506441240535214
steel-faults,grid,0,72,0.7506441240535214
steel-faults,grid,0,73,0.7506441240535214
steel-faults,grid,0,74,0.7506441240535214
steel-faults,grid,0,75,0.7506441240535214
steel-faults,grid,0,76,0.7506441240535214
steel-faults,grid,0,77,0.7506441240535214
steel-faults,grid,0,78,0.7506441240535214
steel-faults,grid,0,79,0.7506441240535214
steel-faults,grid,0,80,0.7506441240535214
steel-faults,grid,0,81,0.7506441240535214
steel-faults,grid,0,82,0.7506441240535214
steel-faults,grid,0,83,0.7506441240535214
steel-faults,grid,0,84,0.7506441240535214
steel-faults,grid,0,85,0.7506441240535214
steel-faults,grid,0,86,0.7506441240535214
steel-faults,grid,0,87,0.7506441240535214
steel-faults,grid,0,88,0.7506441240535214
steel-faults,grid,0,89,0.7506441240535214
steel-faults,grid,0,90,0.7506441240535214
steel-faults,grid,0,91,0.7506441240535214
steel-faults,grid,0,92,0.7506441240535214
steel-faults,grid,0,93,0.7506441240535214
steel-faults,grid,0,94,0.7506441240535214
steel-faults,grid,0,95,0.7506441240535214
steel-faults,grid,0,96,0.7506441240535214
steel-faults,grid,0,97,0.7506441240535214
steel-faults,grid,0,98,0.7506441240535214
steel-faults,grid,0,99,0.7506441240535214
steel-faults,grid,0,100,0.7506441240535214
steel-faults,random,0,1,0.739043667669329
steel-faults,random,0,2,0.739043667669329
steel-faults,random,0,3,0.739043667669329
steel-faults,random,0,4,0.739043667669329
steel-faults,random,0,5,0.739043667669329
steel-faults,random,0,6,0.739043667669329
steel-faults,random,0,7,0.739043667669329
steel-faults,random,0,8,0.739043667669329
steel-faults,random,0,9,0.739043667669329
steel-faults,random,0,10,0.739043667669329
steel-faults,random,0,11,0.739043667669329
steel-faults,random,0,12,0.739043667669329
steel-faults,random,0,13,0.739043667669329
steel-faults,random,0,14,0.739043667669329
steel-faults,random,0,15,0.739043667669329
steel-faults,random,0,16,0.739043667669329
steel-faults,random,0,17,0.739043667669329
steel-faults,random,0,18,0.739043667669329
steel-faults,random,0,19,0.739043667669329
steel-faults,random,0,20,0.739043667669329
steel-faults,random,0,21,0.739043667669329
steel-faults,random,0,22,0.739043667669329
steel-faults,random,0,23,0.739043667669329
steel-faults,random,0,24,0.739043667669329
steel-faults,random,0,25,0.739043667669329
steel-faults,random,0,26,0.7396950523804584
steel-faults,random,0,27,0.7396950523804584
steel-faults,random,0,28,0.7396950523804584
steel-faults,random,0,29,0.7396950523804584
steel-faults,random,0,30,0.7396950523804584
steel-faults,random,0,31,0.7396950523804584
steel-faults,random,0,32,0.7396950523804584
steel-faults,random,0,33,0.7396950523804584
steel-faults,random,0,34,0.7396950523804584
steel-faults,random,0,35,0.7396950523804584
steel-faults,random,0,36,0.7396950523804584
steel-faults,random,0,37,0.7396950523804584
steel-faults,random,0,38,0.7396950523804584
steel-faults,random,0,39,0.7396950523804584
steel-faults,random,0,40,0.7396950523804584
steel-faults,random,0,41,0.7396950523804584
steel-faults,random,0,42,0.7396950523804584
steel-faults,random,0,43,0.7396950523804584
steel-faults,random,0,44,0.7396950523804584
steel-faults,random,0,45,0.7396950523804584
steel-faults,random,0,46,0.7487127891297585
steel-faults,random,0,47,0.7487127891297585
steel-faults,random,0,48,0.7487127891297585
steel-faults,random,0,49,0.7487127891297585
steel-faults,random,0,50,0.7487127891297585
steel-faults,random,0,51,0.7487127891297585
steel-faults,random,0,52,0.7487127891297585
steel-faults,random,0,53,0.7487127891297585
steel-faults,random,0,54,0.7487127891297585
steel-faults,random,0,55,0.7487127891297585
steel-faults,random,0,56,0.7487127891297585
steel-faults,random,0,57,0.7487127891297585
steel-faults,random,0,58,0.7487127891297585
steel-faults,random,0,59,0.7487127891297585
steel-faults,random,0,60,0.7487127891297585
steel-faults,random,0,61,0.7487127891297585
steel-faults,random,0,62,0.7487127891297585
steel-faults,random,0,63,0.7487127891297585
steel-faults,random,0,64,0.7487127891297585
steel-faults,random,0,65,0.7487127891297585
steel-faults,random,0,66,0.7487127891297585
steel-faults,random,0,67,0.7487127891297585
steel-faults,random,0,68,0.7487127891297585
steel-faults,random,0,69,0.7487127891297585
steel-faults,random,0,70,0.7487127891297585
steel-faults,random,0,71,0.7487127891297585
steel-faults,random,0,72,0.7487127891297585
steel-faults,random,0,73,0.7487127891297585
steel-faults,random,0,74,0.7487127891297585
steel-faults,random,0,75,0.7487127891297585
steel-faults,random,0,76,0.7487127891297585
steel-faults,random,0,77,0.7487127891297585
steel-faults,random,0,78,0.7487127891297585
steel-faults,random,0,79,0.7487127891297585
steel-faults,random,0,80,0.7487127891297585
steel-faults,random,0,81,0.7487127891297585
steel-faults,random,0,82,0.7487127891297585
steel-faults,random,0,83,0.7487127891297585
steel-faults,random,0,84,0.7487127891297585
steel-faults,random,0,85,0.7487127891297585
steel-faults,random,0,86,0.7487127891297585
steel-faults,random,0,87,0.7487127891297585
steel-faults,random,0,88,0.7487127891297585
steel-faults,random,0,89,0.7487127891297585
steel-faults,random,0,90,0.7487127891297585
steel-faults,random,0,91,0.7487127891297585
steel-faults,random,0,92,0.7487127891297585
steel-faults,random,0,93,0.7487127891297585
steel-faults,random,0,94,0.7487127891297585
steel-faults,random,0,95,0.7487127891297585
steel-faults,random,0,96,0.7487127891297585
steel-faults,random,0,97,0.7487127891297585
steel-faults,random,0,98,0.7487127891297585
steel-faults,random,0,99,0.7487127891297585
steel-faults,random,0,100,0.7487127891297585
steel-faults,bo_tpe,0,1,0.739043667669329
steel-faults,bo_tpe,0,2,0.739043667669329
steel-faults,bo_tpe,0,3,0.739043667669329
steel-faults,bo_tpe,0,4,0.739043667669329
steel-faults,bo_tpe,0,5,0.739043667669329
steel-faults,bo_tpe,0,6,0.739043667669329
steel-faults,bo_tpe,0,7,0.739043667669329
steel-faults,bo_tpe,0,8,0.739043667669329
steel-faults,bo_tpe,0,9,0.739043667669329
steel-faults,bo_tpe,0,10,0.739043667669329
steel-faults,bo_tpe,0,11,0.739043667669329
steel-faults,bo_tpe,0,12,0.7525858313452961
steel-faults,bo_tpe,0,13,0.7525858313452961
steel-faults,bo_tpe,0,14,0.7525858313452961
steel-faults,bo_tpe,0,15,0.7525858313452961
steel-faults,bo_tpe,0,16,0.7525858313452961
steel-faults,bo_tpe,0,17,0.7525858313452961
steel-faults,bo_tpe,0,18,0.7525858313452961
steel-faults,bo_tpe,0,19,0.7525858313452961
steel-faults,bo_tpe,0,20,0.7525858313452961
steel-faults,bo_tpe,0,21,0.7525858313452961
steel-faults,bo_tpe,0,22,0.7525858313452961
steel-faults,bo_tpe,0,23,0.7525858313452961
steel-faults,bo_tpe,0,24,0.7525858313452961
steel-faults,bo_tpe,0,25,0.7525858313452961
steel-faults,bo_tpe,0,26,0.7525858313452961
steel-faults,bo_tpe,0,27,0.7525858313452961
steel-faults,bo_tpe,0,28,0.7525858313452961
steel-faults,bo_tpe,0,29,0.7525858313452961
steel-faults,bo_tpe,0,30,0.7525858313452961
steel-faults,bo_tpe,0,31,0.7525858313452961
steel-faults,bo_tpe,0,32,0.7525858313452961
steel-faults,bo_tpe,0,33,0.7525858313452961
steel-faults,bo_tpe,0,34,0.7525858313452961
steel-faults,bo_tpe,0,35,0.7525858313452961
steel-faults,bo_tpe,0,36,0.7525858313452961
steel-faults,bo_tpe,0,37,0.7525858313452961
steel-faults,bo_tpe,0,38,0.7525858313452961
steel-faults,bo_tpe,0,39,0.7525858313452961
steel-faults,bo_tpe,0,40,0.7525858313452961
steel-faults,bo_tpe,0,41,0.7525858313452961
steel-faults,bo_tpe,0,42,0.7525858313452961
steel-faults,bo_tpe,0,43,0.7525858313452961
steel-faults,bo_tpe,0,44,0.7525858313452961
steel-faults,bo_tpe,0,45,0.7525858313452961
steel-faults,bo_tpe,0,46,0.7525858313452961
steel-faults,bo_tpe,0,47,0.7525858313452961
steel-faults,bo_tpe,0,48,0.7525858313452961
steel-faults,bo_tpe,0,49,0.7525858313452961
steel-faults,bo_tpe,0,50,0.7525858313452961
steel-faults,bo_tpe,0,51,0.7525858313452961
steel-faults,bo_tpe,0,52,0.7525858313452961
steel-faults,bo_tpe,0,53,0.7525858313452961
steel-faults,bo_tpe,0,54,0.7525858313452961
steel-faults,bo_tpe,0,55,0.7525858313452961
steel-faults,bo_tpe,0,56,0.7525858313452961
steel-faults,bo_tpe,0,57,0.7525858313452961
steel-faults,bo_tpe,0,58,0.7525858313452961
steel-faults,bo_tpe,0,59,0.7525858313452961
steel-faults,bo_tpe,0,60,0.7525858313452961
steel-faults,bo_tpe,0,61,0.7525858313452961
steel-faults,bo_tpe,0,62,0.7525858313452961
steel-faults,bo_tpe,0,63,0.7525858313452961
steel-faults,bo_tpe,0,64,0.7525858313452961
steel-faults,bo_tpe,0,65,0.7525858313452961
steel-faults,bo_tpe,0,66,0.7525858313452961
steel-faults,bo_tpe,0,67,0.7525858313452961
steel-faults,bo_tpe,0,68,0.7525858313452961
steel-faults,bo_tpe,0,69,0.7525858313452961
steel-faults,bo_tpe,0,70,0.7525858313452961
steel-faults,bo_tpe,0,71,0.7525858313452961
steel-faults,bo_tpe,0,72,0.7525858313452961
steel-faults,bo_tpe,0,73,0.7525858313452961
steel-faults,bo_tpe,0,74,0.7525858313452961
steel-faults,bo_tpe,0,75,0.7525858313452961
steel-faults,bo_tpe,0,76,0.7525858313452961
steel-faults,bo_tpe,0,77,0.7525858313452961
steel-faults,bo_tpe,0,78,0.7525858313452961
steel-faults,bo_tpe,0,79,0.7525858313452961
steel-faults,bo_tpe,0,80,0.7525858313452961
steel-faults,bo_tpe,0,81,0.7525858313452961
steel-faults,bo_tpe,0,82,0.7525858313452961
steel-faults,bo_tpe,0,83,0.7525858313452961
steel-faults,bo_tpe,0,84,0.7525858313452961
steel-faults,bo_tpe,0,85,0.7525858313452961
steel-faults,bo_tpe,0,86,0.7525858313452961
steel-faults,bo_tpe,0,87,0.7525858313452961
steel-faults,bo_tpe,0,88,0.7525858313452961
steel-faults,bo_tpe,0,89,0.7525858313452961
steel-faults,bo_tpe,0,90,0.7525858313452961
steel-faults,bo_tpe,0,91,0.7525858313452961
steel-faults,bo_tpe,0,92,0.7525858313452961
steel-faults,bo_tpe,0,93,0.7538761539259412
steel-faults,bo_tpe,0,94,0.7538761539259412
steel-faults,bo_tpe,0,95,0.7538761539259412
steel-faults,bo_tpe,0,96,0.7538761539259412
steel-faults,bo_tpe,0,97,0.7538761539259412
steel-faults,bo_tpe,0,98,0.7538761539259412
steel-faults,bo_tpe,0,99,0.7538761539259412
steel-faults,bo_tpe,0,100,0.7538761539259412
steel-faults,pso,0,1,0.7313162535006742
steel-faults,pso,0,2,0.7313162535006742
steel-faults,pso,0,3,0.7313162535006742
steel-faults,pso,0,4,0.7313162535006742
steel-faults,pso,0,5,0.7313162535006742
steel-faults,pso,0,6,0.7313162535006742
steel-faults,pso,0,7,0.7313162535006742
steel-faults,pso,0,8,0.7313162535006742
steel-faults,pso,0,9,0.7313162535006742
steel-faults,pso,0,10,0.7384047297998133
steel-faults,pso,0,11,0.7384047297998133
steel-faults,pso,0,12,0.7384047297998133
steel-faults,pso,0,13,0.7384047297998133
steel-faults,pso,0,14,0.7384047297998133
steel-faults,pso,0,15,0.7384047297998133
steel-faults,pso,0,16,0.7384047297998133
steel-faults,pso,0,17,0.7384047297998133
