dataset,bo_tpe,cuckoo,de,ga,grid,pso,random,sa,sh
banknote,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
breast-w,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,1.0
car,3.0,3.0,3.5,3.5,3.0,3.0,3.0,8.0,10.0
diabetes,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,4.0
ilpd,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,1.0
ozone-8hr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qsar-biodeg,101.0,101.0,101.0,96.0,101.0,101.0,101.0,101.0,6.0
steel-faults,11.5,11.5,13.0,13.0,14.5,10.5,11.5,15.5,11.0
vehicle,13.0,13.5,18.0,18.0,15.0,17.0,13.5,16.0,17.5
wdbc,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0
